Year,CO2 Forcing.Atmos CO2 exogenous
2011,929.065442319659
2012,919.8667745739198
2013,910.7591827464552
2014,901.7417650955002
2015,892.813628807426
2016,883.9738899083426
2017,875.2216731765767
2018,866.5561120560166
2019,857.9763485703133
2020,849.4815332379341
2021,841.0708249880536
2022,832.7433910772806
2023,824.4984070072086
2024,816.3350564427808
2025,808.2525311314662
2026,800.2500308232338
2027,792.3267631913205
2028,784.4819437537827
2029,776.7147957958246
2030,769.0245502928956
2031,761.41044583455
2032,753.8717285490594
2033,746.4076520287717
2034,739.0174772562095
2035,731.7004725309007
2036,724.4559133969314
2037,717.2830825712191
2038,710.1812698724942
2039,703.1497721509843
2040,696.1878932187963
2041,689.2949437809864
2042,682.4702413673133
2043,675.7131102646666
2044,669.0228814501651
2045,662.3988925249158
2046,655.8404876484316
2047,649.3470174736946
2048,642.917839082866
2049,636.5523159236296
2050,630.2498177461679
2051,624.0097205407602
2052,617.8314064760003
2053,611.7142638376241
2054,605.6576869679446
2055,599.6610762058857
2056,593.7238378276096
2057,587.8453839877322
2058,582.025132661121
2059,576.2625075852684
2060,570.5569382032361
2061,564.9078596071644
2062,559.314712482341
2063,553.7769430518227
2064,548.2940030216066
2065,542.8653495263432
2066,537.4904450755873
2067,532.1687575005816
2068,526.8997599015659
2069,521.6829305956097
2070,516.5177530649602
2071,511.4037159059011
2072,506.34031277812
2073,501.3270423545741
2074,496.3634082718556
2075,491.4489190810452
2076,486.5830881990546
2077,481.76543386045006
2078,476.99547906975255
2079,472.2727515542105
2080,467.59678371704007
2081,462.9671125911288
2082,458.3832797931968
2083,453.8448314784127
2084,449.3513182954581
2085,444.9022953420377
2086,440.49732212082944
2087,436.1359624958707
2088,431.8177846493769
2089,427.5423610389871
2090,423.3092683554327
2091,419.11808748062646
2092,414.9684034461648
2093,410.8598053922424
2094,406.79188652697263
2095,402.7642440861115
2096,398.7764792931797
2097,394.8281973199799
2098,390.9190072475049
2099,387.0485220272325
2100,383.2163584428045
2101,379.4221370720837
2102,375.6654822495877
2103,371.94602202929485
2104,368.2633881478167
2105,364.6172159879373
2106,361.00714454251215
2107,357.43281637872485
2108,353.8938776026979
2109,350.3899778244534
2110,346.92077012322113
2111,343.48591101309023
2112,340.0850604090002
2113,336.71788159306954
2114,333.384041181257
2115,330.0832090903534
2116,326.81505850530044
2117,323.5792658468321
2118,320.3755107394377
2119,317.20347597964127
2120,314.0628475045953
2121,310.9533143609855
2122,307.87456867424305
2123,304.8263056180624
2124,301.80822338422024
2125,298.8200231526933
2126,295.86140906207254
2127,292.9320881802699
2128,290.0317704755147
2129,287.1601687876383
2130,284.29727
2131,284.29727
2132,284.29727
2133,284.29727
2134,284.29727
2135,284.29727
2136,284.29727
2137,284.29727
2138,284.29727
2139,284.29727
2140,284.29727
2141,284.29727
2142,284.29727
2143,284.29727
2144,284.29727
2145,284.29727
2146,284.29727
2147,284.29727
2148,284.29727
2149,284.29727
2150,284.29727
2151,284.29727
2152,284.29727
2153,284.29727
2154,284.29727
2155,284.29727
2156,284.29727
2157,284.29727
2158,284.29727
2159,284.29727
2160,284.29727
2161,284.29727
2162,284.29727
2163,284.29727
2164,284.29727
2165,284.29727
2166,284.29727
2167,284.29727
2168,284.29727
2169,284.29727
2170,284.29727
2171,284.29727
2172,284.29727
2173,284.29727
2174,284.29727
2175,284.29727
2176,284.29727
2177,284.29727
2178,284.29727
2179,284.29727
2180,284.29727
2181,284.29727
2182,284.29727
2183,284.29727
2184,284.29727
2185,284.29727
2186,284.29727
2187,284.29727
2188,284.29727
2189,284.29727
2190,284.29727
2191,284.29727
2192,284.29727
2193,284.29727
2194,284.29727
2195,284.29727
2196,284.29727
2197,284.29727
2198,284.29727
2199,284.29727
2200,284.29727
2201,284.29727
2202,284.29727
2203,284.29727
2204,284.29727
2205,284.29727
2206,284.29727
2207,284.29727
2208,284.29727
2209,284.29727
2210,284.29727
2211,284.29727
2212,284.29727
2213,284.29727
2214,284.29727
2215,284.29727
2216,284.29727
2217,284.29727
2218,284.29727
2219,284.29727
2220,284.29727
2221,284.29727
2222,284.29727
2223,284.29727
2224,284.29727
2225,284.29727
2226,284.29727
2227,284.29727
2228,284.29727
2229,284.29727
2230,284.29727
2231,284.29727
2232,284.29727
2233,284.29727
2234,284.29727
2235,284.29727
2236,284.29727
2237,284.29727
2238,284.29727
2239,284.29727
2240,284.29727
2241,284.29727
2242,284.29727
2243,284.29727
2244,284.29727
2245,284.29727
2246,284.29727
2247,284.29727
2248,284.29727
2249,284.29727
2250,284.29727
2251,284.29727
2252,284.29727
2253,284.29727
2254,284.29727
2255,284.29727
2256,284.29727
2257,284.29727
2258,284.29727
2259,284.29727
2260,284.29727
2261,284.29727
2262,284.29727
2263,284.29727
2264,284.29727
2265,284.29727
2266,284.29727
2267,284.29727
2268,284.29727
2269,284.29727
2270,284.29727
2271,284.29727
2272,284.29727
2273,284.29727
2274,284.29727
2275,284.29727
2276,284.29727
2277,284.29727
2278,284.29727
2279,284.29727
2280,284.29727
2281,284.29727
2282,284.29727
2283,284.29727
2284,284.29727
2285,284.29727
2286,284.29727
2287,284.29727
2288,284.29727
2289,284.29727
2290,284.29727
2291,284.29727
2292,284.29727
2293,284.29727
2294,284.29727
2295,284.29727
2296,284.29727
2297,284.29727
2298,284.29727
2299,284.29727
2300,284.29727
2301,284.29727
2302,284.29727
2303,284.29727
2304,284.29727
2305,284.29727
2306,284.29727
2307,284.29727
2308,284.29727
2309,284.29727
2310,284.29727
2311,284.29727
2312,284.29727
2313,284.29727
2314,284.29727
2315,284.29727
2316,284.29727
2317,284.29727
2318,284.29727
2319,284.29727
2320,284.29727
2321,284.29727
2322,284.29727
2323,284.29727
2324,284.29727
2325,284.29727
2326,284.29727
2327,284.29727
2328,284.29727
2329,284.29727
2330,284.29727
2331,284.29727
2332,284.29727
2333,284.29727
2334,284.29727
2335,284.29727
2336,284.29727
2337,284.29727
2338,284.29727
2339,284.29727
2340,284.29727
2341,284.29727
2342,284.29727
2343,284.29727
2344,284.29727
2345,284.29727
2346,284.29727
2347,284.29727
2348,284.29727
2349,284.29727
2350,284.29727
2351,284.29727
2352,284.29727
2353,284.29727
2354,284.29727
2355,284.29727
2356,284.29727
2357,284.29727
2358,284.29727
2359,284.29727
2360,284.29727
2361,284.29727
2362,284.29727
2363,284.29727
2364,284.29727
2365,284.29727
2366,284.29727
2367,284.29727
2368,284.29727
2369,284.29727
2370,284.29727
2371,284.29727
2372,284.29727
2373,284.29727
2374,284.29727
2375,284.29727
2376,284.29727
2377,284.29727
2378,284.29727
2379,284.29727
2380,284.29727
2381,284.29727
2382,284.29727
2383,284.29727
2384,284.29727
2385,284.29727
2386,284.29727
2387,284.29727
2388,284.29727
2389,284.29727
2390,284.29727
2391,284.29727
2392,284.29727
2393,284.29727
2394,284.29727
2395,284.29727
2396,284.29727
2397,284.29727
2398,284.29727
2399,284.29727
2400,284.29727
2401,284.29727
2402,284.29727
2403,284.29727
2404,284.29727
2405,284.29727
2406,284.29727
2407,284.29727
2408,284.29727
2409,284.29727
2410,284.29727
2411,284.29727
2412,284.29727
2413,284.29727
2414,284.29727
2415,284.29727
2416,284.29727
2417,284.29727
2418,284.29727
2419,284.29727
2420,284.29727
2421,284.29727
2422,284.29727
2423,284.29727
2424,284.29727
2425,284.29727
2426,284.29727
2427,284.29727
2428,284.29727
2429,284.29727
2430,284.29727
2431,284.29727
2432,284.29727
2433,284.29727
2434,284.29727
2435,284.29727
2436,284.29727
2437,284.29727
2438,284.29727
2439,284.29727
2440,284.29727
2441,284.29727
2442,284.29727
2443,284.29727
2444,284.29727
2445,284.29727
2446,284.29727
2447,284.29727
2448,284.29727
2449,284.29727
2450,284.29727
2451,284.29727
2452,284.29727
2453,284.29727
2454,284.29727
2455,284.29727
2456,284.29727
2457,284.29727
2458,284.29727
2459,284.29727
2460,284.29727
2461,284.29727
2462,284.29727
2463,284.29727
2464,284.29727
2465,284.29727
2466,284.29727
2467,284.29727
2468,284.29727
2469,284.29727
2470,284.29727
2471,284.29727
2472,284.29727
2473,284.29727
2474,284.29727
2475,284.29727
2476,284.29727
2477,284.29727
2478,284.29727
2479,284.29727
2480,284.29727
2481,284.29727
2482,284.29727
2483,284.29727
2484,284.29727
2485,284.29727
2486,284.29727
2487,284.29727
2488,284.29727
2489,284.29727
2490,284.29727
2491,284.29727
2492,284.29727
2493,284.29727
2494,284.29727
2495,284.29727
2496,284.29727
2497,284.29727
2498,284.29727
2499,284.29727
2500,284.29727
